Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Final Loss
data_500.csv,1,500,20,0.1808,0.0010,0.9200,0.0424
data_500.csv,2,500,20,0.1855,0.0000,0.9200,0.0424
data_500.csv,3,500,20,0.1730,0.0000,0.9200,0.0424
data_1000.csv,1,1000,20,0.2975,0.0000,0.9400,0.0670
data_1000.csv,2,1000,20,0.3061,0.0010,0.9400,0.0670
data_1000.csv,3,1000,20,0.2997,0.0000,0.9400,0.0670
data_5000.csv,1,5000,20,1.6835,0.0027,0.9480,0.1358
data_5000.csv,2,5000,20,1.5749,0.0020,0.9480,0.1358
data_5000.csv,3,5000,20,1.5715,0.0020,0.9480,0.1358
data_10000.csv,1,10000,20,3.0403,0.0000,0.9300,0.1926
data_10000.csv,2,10000,20,3.0498,0.0000,0.9300,0.1926
data_10000.csv,3,10000,20,3.0953,0.0040,0.9300,0.1926
data_50000.csv,1,50000,20,15.3781,0.0158,0.9778,0.0678
data_50000.csv,2,50000,20,15.1473,0.0087,0.9778,0.0678
data_50000.csv,3,50000,20,15.0171,0.0000,0.9778,0.0678
data_100000.csv,1,100000,20,29.8534,0.0064,0.9898,0.0421
data_100000.csv,2,100000,20,29.9105,0.0160,0.9898,0.0421
data_100000.csv,3,100000,20,29.9078,0.0166,0.9898,0.0421
