Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,21.2367,3.0993,0.9100,0.2284
data_500.csv,2,500,20,15.5056,0.9332,0.9100,0.2644
data_500.csv,3,500,20,15.5738,0.9008,0.9200,0.2313
data_1000.csv,1,1000,20,20.1657,2.1689,0.9500,0.1320
data_1000.csv,2,1000,20,16.0376,1.2113,0.9500,0.1281
data_1000.csv,3,1000,20,16.4827,1.1155,0.9350,0.1382
data_5000.csv,1,5000,20,20.1272,1.1953,0.9510,0.1600
data_5000.csv,2,5000,20,15.6965,1.2276,0.9530,0.1636
data_5000.csv,3,5000,20,15.8245,1.2658,0.9540,0.1636
data_10000.csv,1,10000,20,20.5751,2.3744,0.9235,0.2196
data_10000.csv,2,10000,20,15.9096,1.2704,0.9270,0.2062
data_10000.csv,3,10000,20,16.3249,1.3363,0.9315,0.2018
data_50000.csv,1,50000,20,26.9008,2.5750,0.9500,0.1473
data_50000.csv,2,50000,20,18.4149,2.5741,0.9488,0.1512
data_50000.csv,3,50000,20,18.2568,2.4186,0.9521,0.1458
data_100000.csv,1,100000,20,23.7425,3.6015,0.9851,0.0651
data_100000.csv,2,100000,20,19.6950,3.6189,0.9847,0.0661
data_100000.csv,3,100000,20,19.6511,3.5680,0.9861,0.0645
