Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,25.8744,3.0403,0.9300,0.2829
data_500.csv,2,500,20,18.0739,0.9150,0.9000,0.3115
data_500.csv,3,500,20,17.7337,0.9265,0.9100,0.2603
data_1000.csv,1,1000,20,20.2980,2.0566,0.9350,0.1547
data_1000.csv,2,1000,20,19.4523,0.9060,0.9500,0.1410
data_1000.csv,3,1000,20,19.6869,0.9095,0.9250,0.1539
data_5000.csv,1,5000,20,34.4399,1.1231,0.9680,0.1576
data_5000.csv,2,5000,20,30.8437,1.0804,0.9660,0.1717
data_5000.csv,3,5000,20,29.8561,0.9461,0.9720,0.1573
data_10000.csv,1,10000,20,44.5962,2.2252,0.9660,0.1481
data_10000.csv,2,10000,20,42.6026,1.1944,0.9640,0.1496
data_10000.csv,3,10000,20,44.0528,1.3124,0.9670,0.1510
data_50000.csv,1,50000,20,147.9109,2.5071,0.9826,0.1155
data_50000.csv,2,50000,20,147.1212,2.4517,0.9810,0.1213
data_50000.csv,3,50000,20,148.2146,2.3766,0.9828,0.1165
data_100000.csv,1,100000,20,282.1261,3.4686,0.9893,0.0702
data_100000.csv,2,100000,20,277.1127,3.4022,0.9894,0.0681
data_100000.csv,3,100000,20,272.9376,3.4531,0.9884,0.0725
