Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,0.8718,0.1500,0.9100,0.2558
data_500.csv,2,500,20,0.8358,0.0948,0.9000,0.2834
data_500.csv,3,500,20,0.8408,0.0907,0.9000,0.2874
data_1000.csv,1,1000,20,1.1888,0.1026,0.9500,0.1431
data_1000.csv,2,1000,20,1.4181,0.0968,0.9450,0.1346
data_1000.csv,3,1000,20,1.2917,0.1030,0.9500,0.1199
data_5000.csv,1,5000,20,4.0942,0.1289,0.9680,0.1653
data_5000.csv,2,5000,20,4.0697,0.1235,0.9710,0.1678
data_5000.csv,3,5000,20,3.8406,0.1206,0.9700,0.1679
data_10000.csv,1,10000,20,6.9476,0.1593,0.9600,0.1691
data_10000.csv,2,10000,20,7.0126,0.1459,0.9665,0.1511
data_10000.csv,3,10000,20,6.8548,0.1490,0.9685,0.1483
data_50000.csv,1,50000,20,48.6925,0.6478,0.9836,0.1145
data_50000.csv,2,50000,20,43.9034,0.3755,0.9800,0.1208
data_50000.csv,3,50000,20,37.9202,0.3723,0.9819,0.1252
data_100000.csv,1,100000,20,75.6763,0.7931,0.9875,0.0758
data_100000.csv,2,100000,20,72.2540,0.6577,0.9877,0.0756
data_100000.csv,3,100000,20,72.4378,0.7134,0.9869,0.0738
