Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,0.7060,0.1500,0.9000,0.2441
data_500.csv,2,500,20,0.6730,0.1009,0.9100,0.2175
data_500.csv,3,500,20,0.6718,0.0913,0.8900,0.2715
data_1000.csv,1,1000,20,0.7504,0.1036,0.9300,0.1426
data_1000.csv,2,1000,20,0.8062,0.0948,0.9500,0.1303
data_1000.csv,3,1000,20,0.7278,0.0938,0.9450,0.1351
data_5000.csv,1,5000,20,3.7267,0.1284,0.9480,0.1675
data_5000.csv,2,5000,20,3.2755,0.1204,0.9460,0.1693
data_5000.csv,3,5000,20,3.2406,0.1183,0.9420,0.1754
data_10000.csv,1,10000,20,3.1490,0.1599,0.9235,0.2082
data_10000.csv,2,10000,20,2.8797,0.1480,0.9295,0.2032
data_10000.csv,3,10000,20,3.2214,0.1462,0.9265,0.2049
data_50000.csv,1,50000,20,20.1118,0.4118,0.9788,0.0893
data_50000.csv,2,50000,20,16.5962,0.3698,0.9754,0.0962
data_50000.csv,3,50000,20,15.4404,0.3719,0.9797,0.0873
data_100000.csv,1,100000,20,29.4456,0.7168,0.9900,0.0487
data_100000.csv,2,100000,20,28.6962,0.6440,0.9908,0.0479
data_100000.csv,3,100000,20,28.5080,0.6538,0.9899,0.0505
