Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Final Loss
data_500.csv,1,500,20,0.2677,0.0010,0.9300,0.0130
data_500.csv,2,500,20,0.1987,0.0000,0.9300,0.0130
data_500.csv,3,500,20,0.2351,0.0010,0.9300,0.0130
data_1000.csv,1,1000,20,0.4546,0.0000,0.9400,0.0127
data_1000.csv,2,1000,20,0.4450,0.0010,0.9400,0.0127
data_1000.csv,3,1000,20,0.4408,0.0013,0.9400,0.0127
data_5000.csv,1,5000,20,2.0148,0.0020,0.9720,0.0055
data_5000.csv,2,5000,20,2.0461,0.0020,0.9720,0.0055
data_5000.csv,3,5000,20,1.7454,0.0020,0.9720,0.0055
data_10000.csv,1,10000,20,4.0560,0.0043,0.9655,0.0085
data_10000.csv,2,10000,20,3.8728,0.0030,0.9655,0.0085
data_10000.csv,3,10000,20,3.8525,0.0040,0.9655,0.0085
data_50000.csv,1,50000,20,18.8070,0.0077,0.9819,0.0109
data_50000.csv,2,50000,20,19.5528,0.0080,0.9819,0.0109
data_50000.csv,3,50000,20,19.8511,0.0070,0.9819,0.0109
data_100000.csv,1,100000,20,34.7490,0.0150,0.9889,0.0152
data_100000.csv,2,100000,20,32.9206,0.0150,0.9889,0.0152
data_100000.csv,3,100000,20,33.8626,0.0140,0.9889,0.0152
