Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Final Loss
data_500.csv,1,500,20,0.1946,0.0000,0.9200,0.0424
data_500.csv,2,500,20,0.1624,0.0010,0.9200,0.0424
data_500.csv,3,500,20,0.1670,0.0000,0.9200,0.0424
data_1000.csv,1,1000,20,0.2670,0.0013,0.9400,0.0670
data_1000.csv,2,1000,20,0.2659,0.0000,0.9400,0.0670
data_1000.csv,3,1000,20,0.2678,0.0010,0.9400,0.0670
data_5000.csv,1,5000,20,1.6613,0.0012,0.9480,0.1358
data_5000.csv,2,5000,20,1.6799,0.0010,0.9480,0.1358
data_5000.csv,3,5000,20,1.8423,0.0010,0.9480,0.1358
data_10000.csv,1,10000,20,2.9882,0.0030,0.9300,0.1926
data_10000.csv,2,10000,20,2.8495,0.0040,0.9300,0.1926
data_10000.csv,3,10000,20,3.1288,0.0000,0.9300,0.1926
data_50000.csv,1,50000,20,14.1989,0.0025,0.9519,0.1312
data_50000.csv,2,50000,20,14.3564,0.0158,0.9519,0.1312
data_50000.csv,3,50000,20,14.6242,0.0000,0.9519,0.1312
data_100000.csv,1,100000,20,27.1210,0.0117,0.9852,0.0644
data_100000.csv,2,100000,20,27.1634,0.0157,0.9852,0.0644
data_100000.csv,3,100000,20,28.2953,0.0000,0.9852,0.0644
