Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,21.5251,3.2980,0.9200,0.2761
data_500.csv,2,500,20,16.2914,0.9834,0.9200,0.2233
data_500.csv,3,500,20,16.0509,0.9542,0.9500,0.2241
data_1000.csv,1,1000,20,20.0780,1.9353,0.9400,0.1351
data_1000.csv,2,1000,20,15.9789,0.9225,0.9450,0.1229
data_1000.csv,3,1000,20,16.6434,1.0124,0.9300,0.1335
data_5000.csv,1,5000,20,19.2832,1.2360,0.9500,0.1653
data_5000.csv,2,5000,20,15.7974,1.1251,0.9390,0.1807
data_5000.csv,3,5000,20,16.0992,1.2325,0.9550,0.1599
data_10000.csv,1,10000,20,20.6338,2.5619,0.9250,0.2130
data_10000.csv,2,10000,20,16.1348,1.3233,0.9270,0.2055
data_10000.csv,3,10000,20,16.7012,1.2467,0.9300,0.2012
data_50000.csv,1,50000,20,27.6396,2.4478,0.9681,0.1094
data_50000.csv,2,50000,20,19.2312,2.3300,0.9649,0.1210
data_50000.csv,3,50000,20,19.2268,2.2963,0.9605,0.1261
data_100000.csv,1,100000,20,25.5571,3.5539,0.9879,0.0569
data_100000.csv,2,100000,20,21.7789,3.5451,0.9879,0.0567
data_100000.csv,3,100000,20,21.4249,3.3408,0.9883,0.0556
