Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,0.7376,0.1480,0.9200,0.2546
data_500.csv,2,500,20,0.6686,0.0941,0.9200,0.2512
data_500.csv,3,500,20,0.6689,0.0915,0.9400,0.2088
data_1000.csv,1,1000,20,0.8777,0.1034,0.9450,0.1217
data_1000.csv,2,1000,20,1.0676,0.0980,0.9450,0.1159
data_1000.csv,3,1000,20,0.9217,0.0959,0.9500,0.1197
data_5000.csv,1,5000,20,2.4049,0.1305,0.9680,0.1462
data_5000.csv,2,5000,20,2.4363,0.1263,0.9660,0.1445
data_5000.csv,3,5000,20,2.3052,0.1307,0.9720,0.1262
data_10000.csv,1,10000,20,4.0513,0.1599,0.9620,0.1319
data_10000.csv,2,10000,20,4.0698,0.1472,0.9600,0.1452
data_10000.csv,3,10000,20,4.0749,0.1462,0.9605,0.1344
data_50000.csv,1,50000,20,23.9559,0.4113,0.9828,0.0941
data_50000.csv,2,50000,20,24.3378,0.3740,0.9834,0.0949
data_50000.csv,3,50000,20,23.7090,0.3739,0.9828,0.0951
data_100000.csv,1,100000,20,42.2917,0.7226,0.9894,0.0577
data_100000.csv,2,100000,20,37.6522,0.6411,0.9905,0.0589
data_100000.csv,3,100000,20,38.0164,0.6389,0.9892,0.0619
