Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,0.7113,0.1464,0.9100,0.2563
data_500.csv,2,500,20,0.6655,0.0943,0.9000,0.2803
data_500.csv,3,500,20,0.6664,0.0928,0.9200,0.2205
data_1000.csv,1,1000,20,0.6765,0.1005,0.9450,0.1247
data_1000.csv,2,1000,20,0.8291,0.0969,0.9450,0.1426
data_1000.csv,3,1000,20,0.7570,0.0949,0.9450,0.1251
data_5000.csv,1,5000,20,1.7742,0.1273,0.9620,0.1354
data_5000.csv,2,5000,20,2.0133,0.1165,0.9540,0.1384
data_5000.csv,3,5000,20,2.2568,0.1203,0.9620,0.1319
data_10000.csv,1,10000,20,3.5850,0.1617,0.9625,0.1271
data_10000.csv,2,10000,20,3.7846,0.1479,0.9570,0.1378
data_10000.csv,3,10000,20,3.4300,0.1458,0.9610,0.1326
data_50000.csv,1,50000,20,15.0993,0.4260,0.9837,0.0808
data_50000.csv,2,50000,20,15.8910,0.3746,0.9850,0.0792
data_50000.csv,3,50000,20,14.9386,0.3729,0.9822,0.0825
data_100000.csv,1,100000,20,32.2058,0.7270,0.9913,0.0486
data_100000.csv,2,100000,20,31.4329,0.6332,0.9906,0.0486
data_100000.csv,3,100000,20,33.3784,0.6421,0.9910,0.0483
