Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,0.6992,0.1460,0.9200,0.2750
data_500.csv,2,500,20,0.6730,0.0908,0.9200,0.2879
data_500.csv,3,500,20,0.6677,0.0928,0.9000,0.2248
data_1000.csv,1,1000,20,0.7308,0.1026,0.9450,0.1459
data_1000.csv,2,1000,20,0.8330,0.0988,0.9500,0.1408
data_1000.csv,3,1000,20,0.7593,0.0947,0.9500,0.1273
data_5000.csv,1,5000,20,3.0877,0.1289,0.9490,0.1680
data_5000.csv,2,5000,20,2.3662,0.1184,0.9470,0.1696
data_5000.csv,3,5000,20,3.1906,0.1199,0.9550,0.1615
data_10000.csv,1,10000,20,6.1279,0.1579,0.9465,0.1684
data_10000.csv,2,10000,20,6.2419,0.1470,0.9495,0.1571
data_10000.csv,3,10000,20,5.8454,0.1499,0.9425,0.1591
data_50000.csv,1,50000,20,42.4194,0.4370,0.9835,0.0811
data_50000.csv,2,50000,20,46.5149,0.3795,0.9836,0.0784
data_50000.csv,3,50000,20,38.3583,0.3779,0.9834,0.0817
data_100000.csv,1,100000,20,72.8840,0.7200,0.9908,0.0475
data_100000.csv,2,100000,20,57.1759,0.9602,0.9906,0.0479
data_100000.csv,3,100000,20,54.0961,0.6406,0.9912,0.0456
