Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,0.6873,0.1402,0.9000,0.2351
data_500.csv,2,500,20,0.6662,0.0849,0.9100,0.2355
data_500.csv,3,500,20,0.6565,0.0826,0.9100,0.2336
data_1000.csv,1,1000,20,0.6933,0.0932,0.9350,0.1436
data_1000.csv,2,1000,20,0.8147,0.0869,0.9450,0.1367
data_1000.csv,3,1000,20,0.6952,0.0866,0.9350,0.1504
data_5000.csv,1,5000,20,2.1123,0.1242,0.9480,0.1617
data_5000.csv,2,5000,20,1.9801,0.1115,0.9510,0.1595
data_5000.csv,3,5000,20,2.1115,0.1104,0.9510,0.1661
data_10000.csv,1,10000,20,1.8960,0.1522,0.9340,0.1955
data_10000.csv,2,10000,20,2.3722,0.1399,0.9355,0.1944
data_10000.csv,3,10000,20,2.0041,0.1394,0.9210,0.2158
data_50000.csv,1,50000,20,5.2480,0.4102,0.9502,0.1483
data_50000.csv,2,50000,20,4.6269,0.3607,0.9544,0.1418
data_50000.csv,3,50000,20,6.8880,0.3622,0.9494,0.1485
data_100000.csv,1,100000,20,7.9940,0.6947,0.9857,0.0649
data_100000.csv,2,100000,20,8.1544,0.6555,0.9855,0.0654
data_100000.csv,3,100000,20,7.1818,0.6336,0.9852,0.0647
