Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Final Loss
data_500.csv,1,500,20,0.1962,0.0010,0.9200,0.0424
data_500.csv,2,500,20,0.1443,0.0000,0.9200,0.0424
data_500.csv,3,500,20,0.1581,0.0000,0.9200,0.0424
data_1000.csv,1,1000,20,0.2653,0.0000,0.9400,0.0670
data_1000.csv,2,1000,20,0.2535,0.0000,0.9400,0.0670
data_1000.csv,3,1000,20,0.2555,0.0000,0.9400,0.0670
data_5000.csv,1,5000,20,2.0949,0.0000,0.9620,0.0861
data_5000.csv,2,5000,20,2.0518,0.0000,0.9620,0.0861
data_5000.csv,3,5000,20,2.1219,0.0000,0.9620,0.0861
data_10000.csv,1,10000,20,4.1185,0.0030,0.9605,0.0830
data_10000.csv,2,10000,20,4.1173,0.0157,0.9605,0.0830
data_10000.csv,3,10000,20,3.9202,0.0000,0.9605,0.0830
data_50000.csv,1,50000,20,19.9397,0.0000,0.9830,0.0373
data_50000.csv,2,50000,20,19.9021,0.0020,0.9830,0.0373
data_50000.csv,3,50000,20,19.8864,0.0107,0.9830,0.0373
data_100000.csv,1,100000,20,39.8909,0.0000,0.9906,0.0300
data_100000.csv,2,100000,20,39.3782,0.0159,0.9906,0.0300
data_100000.csv,3,100000,20,38.9090,0.0160,0.9906,0.0300
