Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,21.2690,3.1845,0.9300,0.2271
data_500.csv,2,500,20,16.4328,1.0981,0.8900,0.2645
data_500.csv,3,500,20,16.1053,0.9012,0.9100,0.2158
data_1000.csv,1,1000,20,19.3024,2.1477,0.9300,0.1554
data_1000.csv,2,1000,20,15.7450,1.0359,0.9450,0.1448
data_1000.csv,3,1000,20,16.6212,1.0702,0.9450,0.1300
data_5000.csv,1,5000,20,20.1359,1.1451,0.9490,0.1577
data_5000.csv,2,5000,20,16.3867,1.1946,0.9470,0.1552
data_5000.csv,3,5000,20,16.0575,1.1931,0.9390,0.1807
data_10000.csv,1,10000,20,19.7538,2.2844,0.9220,0.2112
data_10000.csv,2,10000,20,16.2375,1.3458,0.9290,0.2096
data_10000.csv,3,10000,20,16.7117,1.3331,0.9220,0.2193
data_50000.csv,1,50000,20,29.3948,2.4918,0.9785,0.0914
data_50000.csv,2,50000,20,21.2310,2.6614,0.9762,0.0965
data_50000.csv,3,50000,20,21.6682,2.4516,0.9769,0.0946
data_100000.csv,1,100000,20,29.6064,3.8175,0.9901,0.0493
data_100000.csv,2,100000,20,25.8669,3.7218,0.9899,0.0496
data_100000.csv,3,100000,20,25.9658,3.6535,0.9899,0.0499
