Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,21.6827,3.1651,0.9100,0.2411
data_500.csv,2,500,20,15.8132,0.9698,0.9200,0.2606
data_500.csv,3,500,20,15.7806,1.0016,0.9000,0.2527
data_1000.csv,1,1000,20,19.1276,1.9576,0.9450,0.1432
data_1000.csv,2,1000,20,15.9937,0.9656,0.9350,0.1273
data_1000.csv,3,1000,20,16.2783,1.0028,0.9250,0.1503
data_5000.csv,1,5000,20,26.1242,1.1460,0.9660,0.1229
data_5000.csv,2,5000,20,19.1748,1.1828,0.9640,0.1311
data_5000.csv,3,5000,20,19.3251,1.1149,0.9720,0.1177
data_10000.csv,1,10000,20,25.8991,2.3780,0.9660,0.1125
data_10000.csv,2,10000,20,23.1280,1.2821,0.9670,0.1163
data_10000.csv,3,10000,20,24.2383,1.2706,0.9610,0.1173
data_50000.csv,1,50000,20,53.6978,2.4154,0.9859,0.0803
data_50000.csv,2,50000,20,49.2748,2.3251,0.9836,0.0837
data_50000.csv,3,50000,20,49.2525,2.4013,0.9834,0.0842
data_100000.csv,1,100000,20,87.5848,3.6157,0.9901,0.0577
data_100000.csv,2,100000,20,84.5285,3.7417,0.9908,0.0519
data_100000.csv,3,100000,20,85.0704,3.4802,0.9905,0.0497
