Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,21.2531,3.2237,0.9200,0.2790
data_500.csv,2,500,20,15.8105,1.0277,0.9000,0.2576
data_500.csv,3,500,20,15.9517,0.9954,0.9100,0.2330
data_1000.csv,1,1000,20,20.2379,1.9444,0.9350,0.1559
data_1000.csv,2,1000,20,15.5803,1.0191,0.9500,0.1364
data_1000.csv,3,1000,20,16.1755,1.0094,0.9450,0.1350
data_5000.csv,1,5000,20,25.1352,1.1574,0.9640,0.1291
data_5000.csv,2,5000,20,18.2421,1.1629,0.9650,0.1314
data_5000.csv,3,5000,20,18.1704,1.2040,0.9640,0.1304
data_10000.csv,1,10000,20,23.2438,2.5269,0.9560,0.1366
data_10000.csv,2,10000,20,19.9932,1.2320,0.9620,0.1307
data_10000.csv,3,10000,20,19.9310,1.4256,0.9590,0.1283
data_50000.csv,1,50000,20,38.5562,2.6557,0.9840,0.0801
data_50000.csv,2,50000,20,34.3530,2.4177,0.9843,0.0824
data_50000.csv,3,50000,20,34.4526,2.5125,0.9855,0.0820
data_100000.csv,1,100000,20,55.2087,3.7648,0.9907,0.0489
data_100000.csv,2,100000,20,52.4053,3.6088,0.9906,0.0479
data_100000.csv,3,100000,20,51.8115,3.7014,0.9914,0.0490
