Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,21.1935,3.3482,0.9100,0.2207
data_500.csv,2,500,20,15.8582,1.0338,0.9000,0.2538
data_500.csv,3,500,20,15.7239,0.9761,0.9000,0.2408
data_1000.csv,1,1000,20,19.7620,1.9374,0.9450,0.1263
data_1000.csv,2,1000,20,15.6157,0.9463,0.9400,0.1314
data_1000.csv,3,1000,20,16.2045,0.9553,0.9350,0.1401
data_5000.csv,1,5000,20,20.4112,1.1852,0.9500,0.1585
data_5000.csv,2,5000,20,16.0166,1.2378,0.9480,0.1652
data_5000.csv,3,5000,20,15.7626,1.2924,0.9480,0.1688
data_10000.csv,1,10000,20,25.7208,2.2184,0.9445,0.1609
data_10000.csv,2,10000,20,17.6391,1.1547,0.9445,0.1638
data_10000.csv,3,10000,20,18.7065,1.2126,0.9440,0.1633
data_50000.csv,1,50000,20,29.6457,2.5933,0.9849,0.0794
data_50000.csv,2,50000,20,26.0265,2.4784,0.9830,0.0809
data_50000.csv,3,50000,20,25.4029,2.4943,0.9835,0.0808
data_100000.csv,1,100000,20,38.6516,3.8955,0.9900,0.0495
data_100000.csv,2,100000,20,35.0074,3.7197,0.9905,0.0470
data_100000.csv,3,100000,20,34.5132,3.5066,0.9905,0.0478
