Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Final Loss
data_500.csv,1,500,20,0.1905,0.0000,0.9200,0.0424
data_500.csv,2,500,20,0.1741,0.0000,0.9200,0.0424
data_500.csv,3,500,20,0.1625,0.0000,0.9200,0.0424
data_1000.csv,1,1000,20,0.2626,0.0000,0.9400,0.0670
data_1000.csv,2,1000,20,0.2780,0.0020,0.9400,0.0670
data_1000.csv,3,1000,20,0.2636,0.0000,0.9400,0.0670
data_5000.csv,1,5000,20,1.7961,0.0020,0.9480,0.1358
data_5000.csv,2,5000,20,1.6503,0.0116,0.9480,0.1358
data_5000.csv,3,5000,20,1.7834,0.0000,0.9480,0.1358
data_10000.csv,1,10000,20,3.3995,0.0000,0.9465,0.1315
data_10000.csv,2,10000,20,3.3881,0.0161,0.9465,0.1315
data_10000.csv,3,10000,20,3.1077,0.0000,0.9465,0.1315
data_50000.csv,1,50000,20,16.8452,0.0162,0.9834,0.0466
data_50000.csv,2,50000,20,17.0444,0.0000,0.9834,0.0466
data_50000.csv,3,50000,20,16.7346,0.0000,0.9834,0.0466
data_100000.csv,1,100000,20,31.8310,0.0130,0.9904,0.0349
data_100000.csv,2,100000,20,31.9527,0.0000,0.9904,0.0349
data_100000.csv,3,100000,20,32.2828,0.0000,0.9904,0.0349
