Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Final Loss
data_500.csv,1,500,20,0.1835,0.0000,0.9200,0.0424
data_500.csv,2,500,20,0.1626,0.0000,0.9200,0.0424
data_500.csv,3,500,20,0.1668,0.0000,0.9200,0.0424
data_1000.csv,1,1000,20,0.2627,0.0010,0.9400,0.0670
data_1000.csv,2,1000,20,0.2553,0.0077,0.9400,0.0670
data_1000.csv,3,1000,20,0.2625,0.0019,0.9400,0.0670
data_5000.csv,1,5000,20,1.7773,0.0010,0.9480,0.1358
data_5000.csv,2,5000,20,1.7867,0.0020,0.9480,0.1358
data_5000.csv,3,5000,20,1.7815,0.0010,0.9480,0.1358
data_10000.csv,1,10000,20,3.1189,0.0040,0.9300,0.1926
data_10000.csv,2,10000,20,2.9604,0.0040,0.9300,0.1926
data_10000.csv,3,10000,20,2.9209,0.0040,0.9300,0.1926
data_50000.csv,1,50000,20,14.0483,0.0159,0.9635,0.1021
data_50000.csv,2,50000,20,14.4516,0.0018,0.9635,0.1021
data_50000.csv,3,50000,20,13.5357,0.0000,0.9635,0.1021
data_100000.csv,1,100000,20,26.2122,0.0000,0.9879,0.0531
data_100000.csv,2,100000,20,26.6966,0.0000,0.9879,0.0531
data_100000.csv,3,100000,20,28.3037,0.0140,0.9879,0.0531
