Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,1,500,20,0.7061,0.1459,0.9000,0.2260
data_500.csv,2,500,20,0.6725,0.0948,0.8900,0.2423
data_500.csv,3,500,20,0.6655,0.0906,0.9100,0.2322
data_1000.csv,1,1000,20,0.6805,0.1034,0.9500,0.1318
data_1000.csv,2,1000,20,0.8802,0.0948,0.9300,0.1468
data_1000.csv,3,1000,20,0.7355,0.0966,0.9400,0.1415
data_5000.csv,1,5000,20,1.7039,0.1307,0.9680,0.1274
data_5000.csv,2,5000,20,1.6422,0.1186,0.9620,0.1307
data_5000.csv,3,5000,20,1.6327,0.1184,0.9710,0.1149
data_10000.csv,1,10000,20,2.9289,0.1585,0.9640,0.1191
data_10000.csv,2,10000,20,3.0399,0.1482,0.9645,0.1122
data_10000.csv,3,10000,20,2.9957,0.1473,0.9650,0.1243
data_50000.csv,1,50000,20,20.2969,0.4246,0.9847,0.0824
data_50000.csv,2,50000,20,20.1490,0.3820,0.9834,0.0863
data_50000.csv,3,50000,20,17.5960,0.3751,0.9820,0.0860
data_100000.csv,1,100000,20,33.7461,0.7303,0.9900,0.0541
data_100000.csv,2,100000,20,28.5648,0.6489,0.9906,0.0522
data_100000.csv,3,100000,20,27.6724,0.6428,0.9894,0.0564
